 written on  7Apr2026 at 10:55:14 
   2.4600000000000000        0.0000000000000000        0.0000000000000000     
  -1.2300000000000000        2.1304224933000002        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        20.000000000000000     
           8
          83
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    2    1    1

   -5   -3    0
    5    6   -0.56417334E-09  0.20373411E-10
    6    6    0.20516170E-02 -0.80131561E-12
    7    6    0.13954362E-08 -0.16450988E-10
    8    6    0.40375252E-09 -0.32272895E-10
    1    7   -0.92278522E-04 -0.65036514E-11
    2    7   -0.84697785E-10 -0.14762939E-10
    3    7   -0.37399604E-02 -0.72740286E-11
    4    7   -0.14788724E-01  0.55479926E-12
    5    7   -0.61565041E-02  0.30967603E-11
    6    7   -0.12920346E-08 -0.22665191E-10
    7    7    0.59888862E-02  0.17346640E-10
    8    7   -0.65905525E-02  0.24283455E-10
    1    8    0.40290420E-02  0.30000766E-10
    2    8    0.51621980E-10  0.10900055E-10
    3    8   -0.14788723E-01 -0.55716473E-11
    4    8   -0.85713747E-02  0.39541564E-10
    5    8   -0.82440543E-02  0.16674342E-10
    6    8   -0.91282481E-09  0.15661143E-10
    7    8    0.50693636E-02 -0.19301513E-10
    8    8    0.37345012E-02  0.22933776E-10

   -4   -1    0
    1    1    0.28112261E-03  0.13744464E-10
    2    1    0.75389880E-11 -0.81958206E-12
    3    1    0.14945558E-02 -0.12964052E-10
    4    1    0.59891003E-04 -0.22315379E-11
    5    1    0.75569563E-03  0.66175537E-11
    6    1   -0.66262810E-10 -0.30617221E-11
    7    1    0.58806727E-03 -0.60694939E-11
    8    1   -0.18679786E-02  0.96680858E-11
    1    2   -0.47757132E-11 -0.39549360E-11
    2    2   -0.61519902E-03  0.26268163E-11
    3    2   -0.55799754E-10 -0.18878956E-10
    4    2    0.22597369E-10  0.53292335E-11
    5    2    0.15659723E-10  0.34922469E-13
    6    2    0.54290525E-04 -0.34879669E-11
    7    2   -0.22549558E-10 -0.91832788E-11
    8    2    0.40629530E-10  0.13621779E-10
    1    3   -0.10264767E-02 -0.18638826E-10
    2    3   -0.79873854E-11 -0.11174395E-10
    3    3    0.31248994E-03  0.26866538E-10
    4    3   -0.11941582E-02  0.65217753E-12
    5    3   -0.58806708E-03  0.88848512E-11
    6    3   -0.43955655E-10  0.10393725E-10
    7    3   -0.39920731E-03  0.22294222E-10
    8    3    0.86023207E-03  0.12361223E-10
    1    4    0.36207336E-02  0.13473295E-10
    2    4   -0.55280534E-10  0.83082327E-12
    3    4   -0.15402380E-03  0.14777448E-10
    4    4   -0.10805274E-02  0.15332615E-10
    5    4    0.18679783E-02  0.82416574E-11
    6    4   -0.50074947E-10 -0.37666619E-11
    7    4    0.86023221E-03 -0.79722479E-11
    8    4   -0.31388290E-02  0.34136444E-11
    1    5   -0.41605605E-02  0.10255963E-11
    2    5    0.16923642E-09 -0.26561201E-11
    3    5   -0.26058848E-02  0.41546475E-10
    4    5   -0.79240931E-02 -0.33399117E-11
    5    5    0.28112261E-03 -0.88417676E-11
    6    5   -0.22952584E-09  0.13620670E-10
    7    5    0.10264766E-02  0.16103018E-10
    8    5   -0.36207337E-02  0.18217213E-10
    1    6    0.91152018E-10 -0.18308892E-10
    2    6   -0.96398594E-03 -0.11246490E-11
    3    6   -0.15469631E-08 -0.23703170E-10
    4    6   -0.15742874E-08 -0.10443113E-10
    5    6    0.85614416E-10 -0.20951490E-10
    6    6   -0.61519901E-03 -0.26654547E-11
    7    6    0.22306064E-10  0.13157128E-10
    8    6   -0.43944699E-09  0.35144692E-10
    1    7    0.26058868E-02 -0.11822106E-11
    2    7   -0.11724342E-09 -0.87650043E-11
    3    7   -0.11261446E-01  0.18604049E-10
    4    7   -0.11421751E-01  0.28946019E-10
